SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
158,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 3.00,3
159,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,25-01-2023 3.00,2.5
160,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 4.00,3.5
161,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,25-01-2023 4.00,3
162,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,25-01-2023 6.00,4
163,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 6.00,3.5
164,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,25-01-2023 7.00,4
165,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,25-01-2023 8.00,4
166,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 8.00,3.5
167,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 12.00,1.5
168,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 13.00,1.5
169,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 14.00,1.5
170,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 15.00,1.5
171,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 16.00,1.5
172,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 17.00,1.5
173,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 18.00,1.5
174,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 19.00,1.5
175,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 20.00,1.5
176,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 21.00,1.5
177,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 22.00,1.5
178,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59631389,79.65005556,25-01-2023 23.00,1.5
