sl_no,slide_no,state,district,location_details,latitude,longitude,material_movement_history_raw
35422,UK/UTT/53J09/2015/931,Uttarakhand,Uttarkashi,Sanglayee-Kujjan road,30.855556,78.636944,Debris Fall NA
35423,UK/UTT/53J05/2015/1812,Uttarakhand,Uttarkashi,,30.855758,78.440762,Rock Slide NA
35424,UK/UTT/53J01/2015/1562,Uttarakhand,Uttarkashi,,30.856389,78.072222,Rock Slide NA
35425,UK/UTT/53J01/2015/1492,Uttarakhand,Uttarkashi,,30.856428,78.246646,Rock Slide NA
35426,UK/UTT/53J09/2015/932,Uttarakhand,Uttarkashi,Kujjan-Surge ShAlluvial flood plaint road,30.856602,78.634832,Debris Fall NA
35427,UK/UTT/53J05/2015/1687,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.856728,78.287591,Rock Slide NA
35428,UK/UTT/53J01/2015/1490,Uttarakhand,Uttarkashi,,30.857641,78.235581,Rock Slide NA
35429,UK/UTT/53J01/2015/1529,Uttarakhand,Uttarkashi,,30.857778,78.208611,Rock Slide NA
35430,UK/UTT/53J09/2013/0023,Uttarakhand,Uttarkashi,"UK_UTT_NH108_L23 NH-108, Sanghrali slide",30.858,78.6463,Debris Slide 16th-17th June 2013
35431,UK/UTT/53J09/2015/933,Uttarakhand,Uttarkashi,Rishikesh-Gangotri road,30.85801,78.646741,Debris Flow NA
35432,UK/UTT/53J09/2015/943,Uttarakhand,Uttarkashi,L/b of Thirang Nala,30.858056,78.623333,Debris Fall 2013
35433,UK/UTT/53J01/2015/1488,Uttarakhand,Uttarkashi,,30.858417,78.235619,Rock Slide NA
35434,UK/UTT/53J01/2015/1493,Uttarakhand,Uttarkashi,,30.858889,78.246667,Rock Slide NA
35435,UK/UTT/53J01/2015/1569,Uttarakhand,Uttarkashi,,30.859169,78.085063,Rock Slide NA
35436,UK/UTT/53J01/2015/1451,Uttarakhand,Uttarkashi,,30.859404,78.247945,Rock Slide NA
35437,UK/UTT/53J05/2015/1686,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.859577,78.288161,Rock Slide NA
35438,UK/UTT/53J01/2015/1561,Uttarakhand,Uttarkashi,,30.859722,78.069194,Rock Slide NA
35439,UK/UTT/53J01/2015/1449,Uttarakhand,Uttarkashi,,30.859782,78.239581,Rock Slide NA
35440,UK/UTT/53J05/2015/1691,Uttarakhand,Uttarkashi,,30.86,78.2825,Rock Slide NA
35441,UK/UTT/53J09/2015/930,Uttarakhand,Uttarkashi,Sanglayee-Kujjan road,30.860278,78.643611,Debris Slide NA
35442,UK/UTT/53J05/2015/1685,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.860312,78.287489,Rock Slide NA
35443,UK/UTT/53J05/2015/1684,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.860719,78.287372,Rock Slide NA
35444,UK/UTT/53J01/2015/1532,Uttarakhand,Uttarkashi,,30.86076,78.214013,Rock Slide NA
35445,UK/UTT/53J01/2015/1450,Uttarakhand,Uttarkashi,,30.860906,78.247715,Rock Slide 2013
35446,UK/UTT/53J01/2015/1531,Uttarakhand,Uttarkashi,,30.861148,78.216514,Rock Slide NA
35447,UK/UTT/53J01/2015/1453,Uttarakhand,Uttarkashi,,30.861364,78.238401,Rock Slide 2013
35448,UK/UTT/53J01/2015/1527,Uttarakhand,Uttarkashi,,30.861389,78.202778,Rock Slide NA
35449,UK/UTT/53J01/2015/1526,Uttarakhand,Uttarkashi,,30.861667,78.203056,Rock Slide NA
35450,UK/UTT/53J01/2015/1528,Uttarakhand,Uttarkashi,,30.862618,78.204248,Rock Slide NA
35451,UK/UTT/53J05/2015/1682,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.862929,78.295156,Rock Slide NA
35452,UK/UTT/53J01/2015/1489,Uttarakhand,Uttarkashi,,30.863108,78.242164,Rock Slide NA
35453,UK/DEH/53F13/2015/403,Uttarakhand,Dehradun,Bhadraouli - Palasu,30.863444,77.828333,Debris Slide NA
35454,UK/UTT/53J05/2015/1681,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.863528,78.296111,Rock Slide NA
35455,UK/UTT/53J01/2015/1560,Uttarakhand,Uttarkashi,,30.863645,78.062658,Rock Slide NA
35456,UK/UTT/53J01/2015/1530,Uttarakhand,Uttarkashi,,30.86408,78.214812,Rock Slide NA
35457,UK/UTT/53J01/2015/1566,Uttarakhand,Uttarkashi,,30.864167,78.110056,Rock Slide NA
35458,UK/UTT/53J01/2015/1568,Uttarakhand,Uttarkashi,,30.864694,78.082083,Rock Slide NA
35459,UK/UTT/53J01/2015/1559,Uttarakhand,Uttarkashi,,30.865139,78.065028,Rock Slide NA
35460,UK/UTT/53J05/2015/1813,Uttarakhand,Uttarkashi,,30.865219,78.446527,Rock Slide NA
35461,UK/UTT/53J09/2015/929,Uttarakhand,Uttarkashi,Rishikesh-Gangotri road,30.866079,78.652035,Debris Fall 2013
35462,UK/UTT/53J01/2015/1522,Uttarakhand,Uttarkashi,,30.866111,78.198611,Rock Slide NA
35463,UK/UTT/53J09/2015/928,Uttarakhand,Uttarkashi,Rishikesh-Gangotri road,30.866667,78.654444,Debris Fall 2013
35464,UK/UTT/53J01/2015/1565,Uttarakhand,Uttarkashi,,30.867506,78.115189,Rock Slide NA
